"46.8561252196742, -24.4341757280509","46.9279904424038, -24.4341757280509","46.9279904424038, -24.3623105053214","46.8561252196742, -24.3623105053214"
"46.8561252196742, -24.5060409507805","46.9279904424038, -24.5060409507805","46.9279904424038, -24.4341757280509","46.8561252196742, -24.4341757280509"
"46.8561252196742, -24.5779061735101","46.9279904424038, -24.5779061735101","46.9279904424038, -24.5060409507805","46.8561252196742, -24.5060409507805"
"46.8561252196742, -24.6497713962396","46.9279904424038, -24.6497713962396","46.9279904424038, -24.5779061735101","46.8561252196742, -24.5779061735101"
"46.8561252196742, -24.7216366189692","46.9279904424038, -24.7216366189692","46.9279904424038, -24.6497713962396","46.8561252196742, -24.6497713962396"
"46.8561252196742, -24.7935018416987","46.9279904424038, -24.7935018416987","46.9279904424038, -24.7216366189692","46.8561252196742, -24.7216366189692"
"46.8561252196742, -24.8653670644283","46.9279904424038, -24.8653670644283","46.9279904424038, -24.7935018416987","46.8561252196742, -24.7935018416987"
"46.8561252196742, -24.9372322871579","46.9279904424038, -24.9372322871579","46.9279904424038, -24.8653670644283","46.8561252196742, -24.8653670644283"
"46.8561252196742, -25.0090975098874","46.9279904424038, -25.0090975098874","46.9279904424038, -24.9372322871579","46.8561252196742, -24.9372322871579"
"46.9279904424038, -21.2721059279502","46.9998556651333, -21.2721059279502","46.9998556651333, -21.2002407052207","46.9279904424038, -21.2002407052207"
"46.9279904424038, -21.3439711506798","46.9998556651333, -21.3439711506798","46.9998556651333, -21.2721059279502","46.9279904424038, -21.2721059279502"
"46.9279904424038, -21.4158363734093","46.9998556651333, -21.4158363734093","46.9998556651333, -21.3439711506798","46.9279904424038, -21.3439711506798"
"46.9279904424038, -21.4877015961389","46.9998556651333, -21.4877015961389","46.9998556651333, -21.4158363734093","46.9279904424038, -21.4158363734093"
"46.9279904424038, -21.5595668188685","46.9998556651333, -21.5595668188685","46.9998556651333, -21.4877015961389","46.9279904424038, -21.4877015961389"
"46.9279904424038, -21.631432041598","46.9998556651333, -21.631432041598","46.9998556651333, -21.5595668188685","46.9279904424038, -21.5595668188685"
"46.9279904424038, -21.7032972643276","46.9998556651333, -21.7032972643276","46.9998556651333, -21.631432041598","46.9279904424038, -21.631432041598"
"46.9279904424038, -21.7751624870572","46.9998556651333, -21.7751624870572","46.9998556651333, -21.7032972643276","46.9279904424038, -21.7032972643276"
"46.9279904424038, -21.8470277097867","46.9998556651333, -21.8470277097867","46.9998556651333, -21.7751624870572","46.9279904424038, -21.7751624870572"
"46.9279904424038, -21.9188929325163","46.9998556651333, -21.9188929325163","46.9998556651333, -21.8470277097867","46.9279904424038, -21.8470277097867"
"46.9279904424038, -22.2063538234345","46.9998556651333, -22.2063538234345","46.9998556651333, -22.134488600705","46.9279904424038, -22.134488600705"
"46.9279904424038, -22.2782190461641","46.9998556651333, -22.2782190461641","46.9998556651333, -22.2063538234345","46.9279904424038, -22.2063538234345"
